source,time_period,geo_strat,geo_label,sex_strat,sex_label,age_strat,age_label,abm_strat,abm_label,ppop_strat,ppop_label,domain,measure_raw,measure_gfs,measure_unit,ind_strat,ind_label,est,error_type,error,lci,uci,releasability,prop
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,25-29,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",169,NA,NA,NA,NA,yes,-0.8
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,75-79,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",9982,NA,NA,NA,NA,yes,11.2
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,55-59,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",2301,NA,NA,NA,NA,yes,2.6
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,60-64,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",764,NA,NA,NA,NA,yes,4.2
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,50-54,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",2682,NA,NA,NA,NA,yes,-2.7
abs,2024,nation,Australia,sex_03,Males,age_0to100p_5y_21,75-79,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",13546,NA,NA,NA,NA,yes,-13.8
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,20-24,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",102,NA,NA,NA,NA,yes,-0.5
abs,2024,nation,Australia,sex_03,Females,age_0to100p_5y_21,15-19,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",129,NA,NA,NA,NA,yes,0.1
abs,2024,state,Queensland,sex_03,Females,age_0to100p_5y_21,75-79,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",2232,NA,NA,NA,NA,yes,12.3
abs,2024,state,Queensland,sex_03,Males,age_0to100p_5y_21,80-84,all_01,All,all_01,All,death,deaths,deaths,crude rate (per 1000),abs data explorer deaths,"all deaths by age, sex and state",3339,NA,NA,NA,NA,yes,-16.1
